Key,Description for humans,English,Japanese,Korean,Chinese
journey_2_stat_number,"Consumer journey, step 2 stat",80%,80%,80%,80%
journey_2_stat_text,"Consumer journey, step 2 body text",of Google searches now end without a click when AI Overview is present,「AIによる概要」が表示される場合、80%のGoogle検索がクリックされずに終了," AI Overview가 노출되는 경우, Google 검색의 80%는 클릭 없이 종료됩니다",的 Google 搜索不再有点击外链的行为
journey_2_stat_source,"Consumer journey, step 2 source","Source: Similarweb, “Zero-Click Searched And How They Impact Traffic”, May 2025","出典：""Zero-Click Searches And How They Impact Traffic"". Similarweb.（2025年5月）
","출처: Similarweb, “Zero-Click Searches And How They Impact Traffic”, 2025년 5월",来源：Similarweb，《Zero-Click Searches And How They Impact Traffic》，2025 年 5 月。
journey_3_title,"Consumer journey, step 3 title",Consideration,検討,Consideration,考虑
journey_3_stat_headline,"Consumer journey, step 3 headline","<green>For shoppers, AI has gone from experimental to <b>essential</b></green>",<green>買い物客にとってAIは<br>実験的なものから</b>不可欠</b>なものに</green>,고려(Consideration):  쇼핑 과정에서 AI는 실험적인 툴을 넘어 필수로 자리 잡았습니다,对消费者而言，AI 已从尝试阶段走向不可或缺
journey_3_stat_number,"Consumer journey, step 3 stat",47%,47%,47%,47%
journey_3_stat_text,"Consumer journey, step 3 body text",of consumers use AI to research purchases,の消費者が購入の<br>際に生成AIを<br>使用して調査　　,고려: 소비자의 47%는 구매 전 조사를 위해 생성형 AI(Gen AI)를 활용합니다,的消费者使用 GenAI 来辅助其购买决策
journey_3_stat_source,"Consumer journey, step 3 source","Source: Attest, “2025 Consumer Adoption of AI Report” , July 2025. 
5,000 Adults in US, UK, Canada and Australia using Attest platform","出典：""2025 Consumer Adoption of AI Report"". Attest. (2025年7月）
Attestプラットフォームを使用している米国、英国、カナダ、オーストラリアの成人5,000人を対象
","출처: Attest, “2025 Consumer Adoption of AI Report”, 2025년 7월, Attest 플랫폼을 활용한 미국, 영국, 캐나다, 호주 성인 5,000명 대상 조사","来源：Attest，《2025 Consumer Adoption of AI Report》，2025 年 7 月。
基于 Attest 平台调研的 5,000 名来自美国、英国、加拿大和澳大利亚的成年人。"
journey_4_title,"Consumer journey, step 4 title",Conversion,コンバージョン,Conversion,转化
journey_4_stat_headline,"Consumer journey, step 4 headline","<green>AI is extending 
from advice to <b>action</b></green>",<green>AIの役割が「アドバイス」から<br><b>「アクション」</b>へと拡大</green>,"전환(Conversion): AI의 역할은 조언을 넘어, 실제 소비자 행동까지 확장되고 있습니다",AI 正在从“给建议”走向“代执行”
journey_4_stat_number,"Consumer journey, step 4 stat",30%,30%,30%,30%
journey_4_stat_text,"Consumer journey, step 4 body text",feel comfortable letting AI make purchases for them,の消費者がAIに購入を<br>代行させることに<br>抵抗を感じていない,는 AI가 대신 구매 결정을 내려도 괜찮다고 느낍니다,的受访者表示，对让 AI 代其完成购买感到放心
journey_4_stat_source,"Consumer journey, step 4 source","Source: Contentsquare/Morningstar, December 2025, n=1,300 US adults surveyed by Pollfish.","出典：Pollfish経由で米国成人1,300人を対象に実施されたContentsquare / Morningstarの調査（2025年12月）
","출처: Contentsquare/Morningstar, 2025년 12월, Pollfish를 통해 미국 성인 1,300명 설문","来源：Contentsquare / Morningstar，2025 年 12 月，由 Pollfish 调研的 1,300 名美国成年人。
"
climax_1_title,Climax intro title,<green>Understanding disruption on the <b>vertical level</b></green>,<green><b>業界別</b>に<br>ディスラプションを<br>理解する</green>,산업별로 살펴보는 AI 전환의 영향,理解垂直行业层面的颠覆
climax_1_paragraph,Climax intro paragraph,"The traditional marketer’s toolkit wasn’t built for AI-driven consumer journeys. It’s a world of less predictability, and more possibility. To explore the risks and opportunities for each vertical, we quantified how exposed brands are to AI-driven disruption, and the strength of their customer relationships","マーケターがこれまで使用してきた従来のツールキットは、予測が困難で多くの可能性に満ちたAI主導のカスタマージャーニーを前提に作られていません。本レポートでは、業界ごとにリスクと機会を明らかにするため、AIによるディスラプションがブランドにもたらす影響と、顧客関係の強さを定量化しました。
","기존 마케터의 접근 방식은 AI 중심으로 재편되는 소비자 여정을 전제로 설계되지 않았습니다. 예측 가능성은 줄어들고, 새로운 가능성은 더욱 커지고 있습니다. 각 산업군이 직면한 리스크와 기회 요인을 보다 명확히 이해하기 위해, 본 리포트에서는 AI로 인한 변화에 대한 브랜드 노출 수준과 고객 관계의 강도를 정량적으로 분석했습니다.","传统营销人员的工具体系，并非为 AI 驱动的消费者旅程而设计。我们正进入一个可预测性更低、但可能性更高的时代。为了系统性地评估各垂直行业面临的风险与机会，我们量化了品牌在 AI 驱动颠覆下的暴露程度，以及其客户关系的稳固程度。
"
qu_expl_title,Quadrant title,The <b>AI Disruption Index</b>,<b>AIディスラプションインデックス</b>,<b>AI Disruption Index</b>,<b>AI 颠覆指数</b>
qu_expl_subline,Quadrant intro,AI Disruption scores verticals on their level of exposure to:,AIディスラプションインデックスは、以下の2つの軸に基づいて各業界への影響を評価します。,"AI Disruption Index는 산업별로 AI로 인한 변화가 얼마나 크며, 어떤 방식으로 나타나는지를 보여줍니다.",AI 颠覆指数从两个核心维度，对不同垂直行业进行评估：
qu_expl_y_description,Quadrant X axis description,"<b>AI Disruption</b> <green>(y-axis)</green>  indexes verticals from high to low based on their level of exposure to:
- Service Disruption: The risk that AI can replace services that a brand offers 
- Discovery Disruption: Consumers going to AI for discovery rather than using traditional channels","<b>AIディスラプション</b><green>（縦軸）</green>は、各業界が以下の影響をどの程度受けているかを基準に、ディスラプションのレベルを「高」から「低」で指数化します。
- サービスのディスラプション：ブランドが提供するサービスがAIに代替されるリスク
- 発見のディスラプション：消費者が従来のチャネルではなく、AIを利用して商品やサービスを発見する傾向","AI로 인한 변화 (AI Disruption, Y축): 세로축은 각 산업이 AI로 인한 변화에 노출된 수준을 높음에서 낮음까지 지수화해 보여줍니다. 이 지수는 다음 두 가지 측면을 종합해 산정됩니다.
- 서비스 측면의 변화(Service Disruption): AI가 브랜드가 제공하는 기존 서비스를 대체할 가능성
- 발견 단계의 변화(Discovery Disruption): 소비자가 기존 채널이 아닌 AI를 주요 탐색 및 발견 수단으로 활용하는 변화","AI 颠覆风险（Y 轴）：根据行业受到 AI 影响的程度，从高到低衡量，主要包括：
– 服务颠覆：AI 替代品牌所提供服务的风险
– 发现颠覆：消费者转向使用 AI 进行发现，而非依赖传统渠道"
qu_expl_x_description,Quadrant Y axis description,"<b>Customer Relationship Strength</b> <green>(x-axis)</green> indexes strength from high to low based on a variety of factors including ability to drive long-term loyalty, reliance on paid user acquisition, and how much customers engage on platforms like apps (higher engagement) vs. the web (lower).",<b>顧客関係の強度</b><green>（横軸）</green>は、長期的なロイヤルティの創出力、有料ユーザー獲得（UA）への依存度、 アプリ（高エンゲージメント）やWebサイト（低エンゲージメント）などのプラットフォーム上での顧客エンゲージメントのレベルなど、さまざまな要因に基づいて顧客関係の強度を「高」から「低」で指数化します。,"고객 관계 강도 (Customer Relationship Strength, X축): 가로축은 고객 관계의 견고함을 높음에서 낮음까지 나타내며, 장기적인 고객 충성도를 형성할 수 있는 역량, 구매 유저 확보에 대한 의존도, 그리고 모바일 앱(높은 참여도) 대비 웹(낮은 참여도)에서의 고객 참여 수준 등 다양한 요인을 종합해 평가합니다.","客户关系强度（X 轴）：从高到低衡量客户关系的稳固程度，综合考虑多项因素，包括长期忠诚度的建立能力、对付费获客的依赖程度，以及客户主要是在 App 等高参与度平台，还是在 Web 等低参与度环境中互动。
"
qu_info,"Info message (is now the source, to remain the same throughout)","Moloco and BCG. Based on surveys and interviews with 250 senior marketing leaders (CMOs & VPs) across 15 verticals, plus first-party Moloco app performance data from 3,000+ apps representing 200B+ downloads.","MolocoおよびBCG
15の業界にわたる250名に及ぶマーケティン部門のシニアリーダー（CMOおよび執行役員）を対象とする調査とインタビューに加え、合計ダウンロード数が2,000億件に上る3,000以上のアプリからMolocoが取得したアプリパフォーマンスのファーストパーティデータを分析しました。","Moloco 및 BCG.
본 인사이트는 15개 산업군에 걸쳐 CMO 및 VP급 마케팅 리더 250명을 대상으로 한 설문조사 및 심층 인터뷰와, 3,000개 이상의 앱에서 수집된 몰로코의 퍼스트 파티 앱 퍼포먼스 데이터(누적 다운로드 2,000억 건 이상)를 기반으로 분석되었습니다.","Moloco 和 BCG。
基于对 15 个垂直行业中 250 位资深营销领导者（CMO 与 VP）的调研与访谈，以及来自 3,000+ 个 App、覆盖 2,000 亿次以上下载量的 Moloco 一手 App 效果数据。"
qu_info_short,Info message short (short source),Moloco and BCG.,MolocoおよびBCG,Moloco 및 BCG,Moloco 和 BCG。
qu_bottom_left_title,"Quadrant, step 1 title",<b>Breached</b>,<b>破壊</b>,<b>접점이 약화된 영역 (Breached)</b>,<b>Breached（已失守）</b>
qu_bottom_left_headline,"Quadrant, step 1 headline",High AI disruption and weak customer relationships leave these verticals highly vulnerable to being disintermediated by AI.,"AIディスラプションの影響が大きく、顧客関係が弱い業界は、AIによる中抜きのリスクが極めて高い状態にあります。
","AI로 인한 변화가 크고 고객 관계가 취약한 산업일수록, AI가 고객과의 접점을 대신할 위험이 높습니다.
","高 AI 颠覆风险叠加薄弱的客户关系，使这些行业极易被 AI 去中介化。
"
qu_bottom_left_y_level,"Quadrant, step 1, y axis description","<b>AI disruption | <green>High</green></b>
AI has already disrupted discovery as inspiration, search, and decision-making have been compressed. There’s high risk of service disintermediation as agentic AI can complete booking flows, summarize information, aggregate listings, and more.","<b>AIディスラプション｜<green>高い</green></b>
AIによってインスピレーション、検索、意思決定がひとつに凝縮され、発見プロセスに大きな変化が生じています。エージェント型AIが予約フローの完遂、情報の要約、リストの集約などを担うことで、サービスが中抜きされるリスクが高まっています。
","<b>AI disruption | <green>높음</green></b>
AI는 이미 영감부터 탐색, 의사결정에 이르는 과정을 하나로 단축시키며 기존의 발견(Discovery) 구조를 빠르게 재편하고 있습니다. 에이전틱 AI가 예약 과정을 직접 수행하고, 정보를 요약·정리하며, 여러 선택지를 한 번에 비교·통합할 수 있게 되면서 기존 서비스의 중간 단계가 생략될 가능성도 크게 높아졌습니다.","<b>AI 颠覆 | <green>高</green></b>
AI 已显著压缩了灵感、搜索和决策流程，对发现阶段造成深度冲击。随着具备代理能力的 AI 能够完成预订流程、汇总信息、聚合列表等操作，服务被替代的风险迅速上升。"
qu_bottom_left_x_level,"Quadrant, step 1, x axis description","<b>Customer relationship strength | <green>Low</green></b>
Low customer relationship strength due to a combination of weak loyalty, higher reliance paid traffic, and more engagement on the web (vs. mobile app).","<b>顧客関係の強度｜<green>低い</green></b>
低いロイヤルティ、有料トラフィックへの高い依存、モバイルアプリよりもWebサイト中心のエンゲージメントが、顧客関係の弱さにつながっています。
","<b>고객 관계 강도 | <green>낮음</green></b>
고객 충성도가 낮고 유료 트래픽 의존도가 높으며, 모바일 앱 대비 웹 중심의 참여가 두드러지면서 전반적인 고객 관계가 약한 구조를 보이고 있습니다.
","<b>客户关系强度 | <green>低</green></b>
由于客户忠诚度较弱、对付费流量依赖度高，以及用户更多停留在 Web（而非移动 App）环境中，这些行业的客户关系基础相对薄弱。"
qu_bottom_left_description,"Quadrant, step 1 body text","Breached companies need to fundamentally <b>rebuild the relationship layer</b>:

1. Build stronger customer relationships by investing in owned services like mobile apps, creating loyalty programs, personalized experiences, and community ecosystems
2. Make the most of first-party data and integrate AI-like offerings to create personalized deals, contextually relevant product comparisons, and AI-driven customer assistance
3. Find new pockets of growth and re-engage existing users by diversifying media spend away from disrupted discovery channels like paid search and programmatic display (web) to more resilient channels like mobile apps","「破壊」の領域に属する企業は、以下によって<b>顧客関係の在り方を根本的に再構築</b>する必要があります。

1. モバイルアプリなどの自社が運営するサービスへの投資、ロイヤルティプログラムの導入、パーソナライズされたユーザー体験の創出、コミュニティエコシステムの構築などを通じて顧客関係を強化する。
2. AIベースのソリューションを統合すると同時にファーストパーティデータを最大限に活用し、パーソナライズされたオファーやコンテキストに即した商品比較、AI主導のカスタマーサポートを提供する。
3. 有料検索やプログラマティックディスプレイ広告（Web）といった、AIディスラプションの影響を受けている発見チャネルから、モバイルアプリなど、影響を受けにくいチャネルへとメディア投資を分散させることによって、新たな成長機会を見つけ、既存ユーザーのリエンゲージメントを図る。
","접점이 약화된 ‘Breached’ 영역에 속한 기업들은 AI 환경에 맞춰 고객 관계를 다시 설계해야 합니다.

1. 자사 보유 서비스 강화: 모바일 앱과 같은 자사 채널에 대한 투자를 확대하고, 로열티 프로그램, 개인화된 경험, 커뮤니티 중심의 생태계를 구축함으로써 보다 직접적이고 견고한 고객 관계를 만들어야 합니다.
2. 퍼스트 파티 데이터와 AI 활용 고도화: 퍼스트 파티 데이터를 적극적으로 활용하고 AI 기반 기능을 서비스에 통합해, 개인화된 혜택 제공, 소비자 행동 맥락에 맞는 제품 비교, 그리고 AI 기반 고객 지원 경험을 구현할 수 있습니다.
3. 미디어 전략 다각화와 재성장 기회 발굴: 유료 검색이나 프로그래매틱 디스플레이(웹)처럼 발견 단계에서 이미 변화가 크게 나타난 채널에 대한 의존을 줄이고, 모바일 앱과 같이 상대적으로 회복력이 높은 채널로 미디어 전략을 확장함으로써 새로운 성장 기회를 발굴하고 기존 유저와의 접점을 다시 강화할 수 있습니다.","已失守行业的企业，需要从根本上重建客户关系层：

1. 投资自有阵地（如移动 App），打造忠诚度计划、个性化体验和社区生态，强化客户连接
2. 充分利用一手数据，并整合类 AI 能力，提供个性化优惠、情境化比价，以及 AI 驱动的客户支持
3. 将媒体预算从付费搜索和程序化展示（Web）等已被严重冲击的发现渠道，转向更具韧性的渠道（如移动 App），以寻找新的增长点并重新激活现有用户"
qu_top_left_title,"Quadrant, step 2 title",<b>Undefended</b>,<b>無防備</b>,<b>대응이 부족한 영역 (Undefended)</b>,<b>Undefended（未设防）</b>
qu_top_left_headline,"Quadrant, step 2 headline","Low AI disruption today, but weak customer ties mean these verticals need to pivot strategies for the long term.","現時点ではAIディスラプションの影響をあまり受けていないものの、顧客との結びつきが弱い業界は、長期的な戦略転換が求められます。
","현재로서는 AI로 인한 변화에 상대적으로 크게 노출되지 않았지만, 고객 관계가 약해 장기적인 관점에서는 전략적 전환이 필요한 산업군입니다.
","当前 AI 颠覆程度相对较低，但薄弱的客户关系使这些行业在长期发展上面临隐忧。
"
qu_top_left_y_level,"Quadrant, step 2, y axis description","<b>AI disruption | <green>Moderate to Low</green></b>
Discovery disruption is moderate to low due to reliance on paid channels that are most disrupted, including search, programmatic web, and affiliate channels. There’s a low risk of service disruption as core functionalities can’t easily be replicated.","<b>AIディスラプション｜<green>中程度〜低い</green></b>
有料検索やプログラマティックディスプレイ広告（Web）、アフィリエイトを含む、AIの影響を最も大きく受けている有料チャネルへの依存により、発見プロセスにおいてディスラプションリスクが中〜低程度あります。一方、コア機能は容易に代替されないため、サービスのディスラプションリスクは低いといえます。
","<b>AI로 인한 변화 | <green>중간~낮음</green></b>
해당 산업군은 검색, 프로그래머틱 웹, 제휴 채널 등 이미 변화의 영향이 크게 나타난 유료 중심 채널에 대한 의존도가 높아, 발견(Discovery) 단계에서의 변화 수준은 중간에서 낮은 편에 머물러 있습니다. 다만, 핵심 기능이 AI로 쉽게 대체되기 어려운 만큼 서비스 자체가 직접적인 영향을 받을 가능성은 상대적으로 낮은 상황입니다.
","<b>AI 颠覆 | <green>中等至低</green></b>
由于高度依赖搜索、程序化 Web 和联盟等易受冲击的付费渠道，发现阶段的颠覆风险处于中低水平。与此同时，核心功能不易被复制，使服务颠覆风险相对有限。
"
qu_top_left_x_level,"Quadrant, step 2, x axis description","<b>Customer relationship strength | <green>Low</green></b>
Low customer relationship strength is due to a combination of weak loyalty, higher reliance on paid traffic, and more engagement on the web (vs. mobile app).","<b>顧客関係の強度｜<green>低い</green></b>
低いロイヤルティ、有料トラフィックへの高い依存、（モバイルアプリではなく）Webサイト中心のエンゲージメントのせいで、顧客との関係が弱い状態にあります。
","<b>고객 관계의 견고함 | <green>낮음</green></b>
낮은 고객 충성도와 유료 트래픽에 대한 높은 의존, 그리고 모바일 앱 대비 웹 중심으로 형성된 참여 구조가 겹치며 전반적인 고객 관계의 견고함이 낮게 나타납니다.
","<b>客户关系强度 | <green>低</green></b>
客户忠诚度不足、对付费获客依赖较高，以及用户互动更多发生在 Web 而非 App，削弱了客户关系的长期价值。
"
qu_top_left_description,"Quadrant, step 2 body text","Undefended companies need to <b>build future-proof foundations</b>: 

1. Build stronger customer relationships by investing in owned services like mobile apps, creating loyalty programs, personalized experiences, and community ecosystems
2. Make the most of first-party data and integrate AI-like offerings to create personalized deals, contextually relevant product comparisons, and AI-driven customer assistance","「無防備」の領域に属する企業は、以下によって<b>将来を見据えた基盤を構築</b>する必要があります。

1. モバイルアプリなどの自社が運営するサービスへの投資、ロイヤルティプログラムの導入、パーソナライズされたユーザー体験の創出、コミュニティエコシステムの構築などへの投資を通じて顧客関係を強化する。
2. AIベースのソリューションを統合すると同時にファーストパーティデータを最大限に活用し、パーソナライズされたオファーや、コンテキストに即した商品比較、AI主導のカスタマーサポートを提供する。
","대응이 부족한(Undefended) 영역의 기업이 준비해야 할 방향

대응이 부족한 영역에 속한 기업들은 장기적인 AI 환경을 대비해 고객 관계의 기반을 지금부터 강화할 필요가 있습니다.

1. 자사 보유 서비스 강화: 모바일 앱과 같은 자사 채널에 대한 투자를 확대하고, 로열티 프로그램과 개인화된 경험, 커뮤니티 중심의 생태계를 구축해 보다 지속 가능한 고객 관계를 형성할 수 있습니다.
2. 퍼스트 파티 데이터와 AI 활용 고도화: 퍼스트 파티 데이터를 적극 활용하고 AI 기반 기능을 서비스에 통합해, 개인화된 혜택 제공, 소비자 맥락에 맞는 제품 비교, 그리고 AI 기반 고객 지원 경험을 구현할 수 있습니다.
","未设防行业的企业，需要尽早夯实面向未来的基础：

1. 投资自有服务（如移动 App），建立更稳固的客户关系
2. 借助一手数据和类 AI 能力，打造更具相关性的优惠、比价体验和智能客户支持"
qu_bottom_right_title,"Quadrant, step 3 title",<b>Contested</b>,<b>激戦</b>,<b>경쟁이 심화된 영역 (Contested)</b>,<b>Contested（争夺中）</b>
qu_bottom_right_headline,"Quadrant, step 3 headline","High AI disruption is already reshaping discovery here, but strong loyalty and user intent keep these verticals durable.","AIディスラプションの影響を大きく受け、発見プロセスが変化しているものの、高いロイヤルティと明確なユーザーの意図が業界の耐久性を支えています。
","AI로 인한 변화가 발견 단계 전반에 영향을 미치고 있음에도, 강한 고객 충성도와 뚜렷한 사용 목적을 기반으로 경쟁 우위를 유지하고 있는 산업군입니다.
",AI 已在这一象限中重塑发现阶段，但强烈的用户意图和深厚的忠诚度，使这些行业仍具备韧性。
